Name,Year,Genre,Publisher,EU_Sales,Global_Sales
Kirby: Triple Deluxe,2014,Platform,Nintendo,0.34,1.82
Sonic & Knuckles,1994,Platform,Sega,0.43,1.82
Namco Museum,2001,Misc,Namco Bandai Games,0.07,1.82
The Sims: Hot Date,2001,Simulation,Electronic Arts,0,1.82
Metroid Prime 3: Corruption,2007,Shooter,Nintendo,0.74,1.82
Dragon Quest VI: Realms of Revelation,2010,Role-Playing,Nintendo,0.21,1.81
The Evil Within,2014,Action,Bethesda Softworks,0.84,1.81
DDRMAX2: Dance Dance Revolution,2003,Simulation,Konami Digital Entertainment,0.59,1.81
Crazy Taxi,2000,Racing,Sega,0.51,1.81
Virtua Fighter 4,2002,Fighting,Sega,0.44,1.81
Sly 2: Band of Thieves,2004,Platform,Sony Computer Entertainment,0.69,1.81
Guitar Hero: World Tour,2008,Misc,Activision,0.03,1.8
Sonic Advance 2,2002,Platform,Sega,0.59,1.8
Madden NFL 07,2006,Sports,Electronic Arts,0,1.8
NBA 2K11,2010,Action,Take-Two Interactive,0.21,1.8
NFL GameDay 2000,1999,Sports,989 Studios,0.68,1.8
Call of Duty: Black Ops 3,2015,Shooter,Activision,0.96,1.79
Disney's The Lion King,1994,Platform,Virgin Interactive,0.39,1.79
Beyond: Two Souls,2013,Adventure,Sony Computer Entertainment,0.88,1.79
Kinect Star Wars,2012,Action,Microsoft Game Studios,0.57,1.78
Midnight Club II,2003,Racing,Take-Two Interactive,0.29,1.78
Dragon Quest Monsters: Joker,2006,Role-Playing,Square Enix,0.03,1.78
SpongeBob SquarePants: SuperSponge,2001,Action,THQ,0.58,1.78
The Getaway: Black Monday,2004,Action,Sony Computer Entertainment,1.01,1.78
Professor Layton and the Mask of Miracle,2011,Puzzle,Nintendo,0.95,1.78
Just Cause 2,2010,Action,Square Enix,0.94,1.78
Dragon's Dogma,2012,Role-Playing,Capcom,0.46,1.78
The Legend of Zelda: The Wind Waker,2013,Action,Nintendo,0.57,1.77
50 Cent: Bulletproof,2005,Action,Vivendi Games,0.76,1.77
High School Musical: Sing It!,2007,Misc,Disney Interactive Studios,0.45,1.77
Wii Party U,2013,Misc,Nintendo,0.54,1.77
Madden NFL 25,2013,Sports,Electronic Arts,0.03,1.77
Final Fantasy II,1991,Role-Playing,Square,0.09,1.77
Kirby 64: The Crystal Shards,2000,Platform,Nintendo,0.06,1.77
Dead or Alive 3,2001,Fighting,Microsoft Game Studios,0.29,1.77
UFC 2009 Undisputed,2009,Fighting,THQ,0.45,1.77
Metroid II: Return of Samus,1991,Adventure,Nintendo,0.31,1.76
WWF Attitude,1998,Fighting,Acclaim Entertainment,0.42,1.76
The SpongeBob SquarePants Movie,2004,Platform,THQ,0.54,1.76
Golden Sun,2001,Role-Playing,Nintendo,0.38,1.76
Sonic the Hedgehog 3,1994,Platform,Sega,0.47,1.76
Kid Icarus,1986,Platform,Nintendo,0.12,1.76
Def Jam: Fight for NY,2004,Fighting,Electronic Arts,0.67,1.76
Tom Clancy's Ghost Recon,2002,Shooter,Ubisoft,0.46,1.76
State of Emergency,2002,Action,Take-Two Interactive,0.67,1.76
BioShock Infinite,2013,Shooter,Take-Two Interactive,0.69,1.76
Hitman: Absolution,2012,Action,Square Enix,0.9,1.76
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007,Action,THQ,0.47,1.76
Call of Duty: Black Ops 3,2015,Shooter,Activision,0.48,1.76
The Urbz: Sims in the City,2004,Simulation,Electronic Arts,0.95,1.76
FIFA Soccer 08,2007,Sports,Electronic Arts,1.07,1.76
Star Wars: Starfighter,2001,Simulation,Activision,0.87,1.76
Madden NFL 2000,1998,Sports,Electronic Arts,0.04,1.75
Kingdom Hearts,2013,Role-Playing,Square Enix,0.37,1.75
Star Wars: Battlefront,2004,Shooter,Activision,0.45,1.75
Pro Evolution Soccer,2001,Sports,Konami Digital Entertainment,0.9,1.75
Crackdown,2007,Shooter,Microsoft Game Studios,0.54,1.75
Yoshi,1991,Puzzle,Nintendo,0.13,1.75
Disney's Aladdin,1993,Platform,Capcom,0.34,1.75
Kirby's Adventure,1993,Platform,Nintendo,0.14,1.75
Cooking Mama 3: Shop & Chop,2009,Simulation,505 Games,0.66,1.75
Dance Dance Revolution X,2008,Simulation,Konami Digital Entertainment,0.66,1.75
2 Games in 1: Disney Princess & The Lion King,2004,Misc,THQ,0.46,1.75
Star Wars Episode I: The Phantom Menace,1999,Adventure,LucasArts,0.89,1.74
Xenosaga Episode I: Der Wille zur Macht,2002,Role-Playing,Namco Bandai Games,0.49,1.74
Portal 2,2011,Shooter,Valve,0.63,1.74
The Beatles: Rock Band,2009,Misc,MTV Games,0.4,1.74
Forza Motorsport 6,2015,Racing,Microsoft Game Studios,0.89,1.74
Sonic Colors,2010,Platform,Sega,0.61,1.74
Cruis'n USA,1996,Racing,Nintendo,0.04,1.74
Madden NFL 99,1998,Sports,Electronic Arts,0.04,1.74
Diablo III,2014,Role-Playing,Activision,0.88,1.74
Uncharted: Golden Abyss,2011,Shooter,Sony Computer Entertainment,0.75,1.74
Destiny,2014,Shooter,Activision,0.66,1.73
SSX Tricky,2001,Sports,Electronic Arts,0.66,1.73
Overwatch,2016,Shooter,Activision,0.68,1.73
Twisted Metal III,1998,Action,989 Studios,0.2,1.73
Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,0.62,1.73
Disney Infinity,2013,Action,Disney Interactive Studios,0.44,1.73
Crash Bandicoot: The Huge Adventure,2002,Platform,Universal Interactive,0.7,1.73
Dishonored,2012,Action,Bethesda Softworks,0.52,1.73
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003,Action,Take-Two Interactive,0.66,1.72
The Order: 1886,2015,Shooter,Sony Computer Entertainment,0.78,1.72
The Elder Scrolls Online,2015,Role-Playing,Bethesda Softworks,0.78,1.72
Call of Duty: World at War Final Fronts,2008,Shooter,Activision,0.18,1.72
Imagine: Teacher,2008,Simulation,Ubisoft,0.83,1.72
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,0.98,1.72
Madden NFL 2005,2004,Sports,Electronic Arts,0.03,1.72
Star Ocean: Till The End of Time,2003,Role-Playing,Ubisoft,0.21,1.72
The Sims 3: Late Night Expansion Pack,2010,Simulation,Electronic Arts,0.87,1.71
Game Party 3,2009,Puzzle,Warner Bros. Interactive Entertainment,0.16,1.71
Toy Story 2: Buzz Lightyear to the Rescue!,1998,Platform,Activision,0.64,1.71
Deal or No Deal,2007,Misc,Mindscape,0.41,1.71
Ace Combat 5: The Unsung War,2004,Simulation,Sony Computer Entertainment Europe,0.34,1.71
Need for Speed Underground,2003,Racing,Electronic Arts,0.55,1.71
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,2006,Misc,Nintendo,0,1.71
Tetris Worlds,2001,Puzzle,THQ,0.39,1.71
Cabela's Big Game Hunter 2010,2009,Sports,Activision Value,0,1.7
The Crew,2014,Racing,Ubisoft,1.08,1.7
FIFA Soccer 10,2009,Sports,Electronic Arts,0.24,1.7
We Ski,2008,Sports,Namco Bandai Games,0.42,1.7
Personal Trainer: Math,2007,Puzzle,Nintendo,1.12,1.7
Kirby's Return to Dreamland,2011,Platform,Nintendo,0.21,1.7
Super Puyo Puyo,1993,Puzzle,Banpresto,0,1.7
Ben 10: Protector of Earth,2007,Action,D3Publisher,0.83,1.7
NCAA Football 07,2006,Sports,Electronic Arts,0.05,1.7
SOCOM 3: U.S. Navy SEALs,2005,Shooter,Sony Computer Entertainment,0.34,1.69
NBA 2K15,2014,Sports,Take-Two Interactive,0.18,1.69
Saints Row 2,2008,Action,THQ,0.54,1.69
Saints Row IV,2013,Action,Deep Silver,0.53,1.69
Jampack Winter '99,1999,Misc,Sony Computer Entertainment,0.64,1.69
Dragon Age: Origins,2009,Role-Playing,Electronic Arts,0.44,1.69
FIFA 16,2015,Sports,Electronic Arts,1.01,1.69
WCW vs. nWo: World Tour,1997,Fighting,THQ,0.28,1.69
WCW/NWO Thunder,1998,Fighting,THQ,0.48,1.69
Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,0.66,1.69
Need For Speed: Undercover,2008,Racing,Electronic Arts,0.71,1.69
Dragon Ball Z: The Legacy of Goku,2002,Role-Playing,Infogrames,0.12,1.69
Sid Meier's Civilization V,2010,Strategy,Take-Two Interactive,0.52,1.69
Resident Evil 4,2005,Action,Capcom,0.42,1.69
Call of Duty Black Ops: Declassified,2012,Action,Activision,0.52,1.69
Star Wars Battlefront: Renegade Squadron,2007,Shooter,LucasArts,0.47,1.68
World Championship Poker: Featuring Howard Lederer - All In,2006,Misc,Oxygen Interactive,0.64,1.68
NFL GameDay 98,1997,Sports,Sony Computer Entertainment,0.06,1.68
LEGO Batman 2: DC Super Heroes,2012,Action,Warner Bros. Interactive Entertainment,0.64,1.68
Yoshi's Cookie,1992,Puzzle,Nintendo,0.24,1.68
Time Crisis,1997,Shooter,Namco Bandai Games,0.87,1.68
The Sims: Superstar,2003,Simulation,Electronic Arts,0,1.68
Star Wars The Clone Wars: Lightsaber Duels,2008,Action,LucasArts,0.3,1.68
MySims,2007,Simulation,Electronic Arts,0.55,1.68
Metroid Fusion,2002,Action,Nintendo,0.27,1.68
Shaun White Snowboarding: Road Trip,2008,Sports,Ubisoft,0.57,1.67
SSX 3,2003,Sports,Electronic Arts,0.52,1.67
Big Beach Sports,2008,Sports,THQ,1.02,1.67
Madden NFL 2001,2000,Sports,Electronic Arts,0.05,1.67
Fight Night Round 3,2006,Fighting,Electronic Arts,0.59,1.67
Knack,2013,Platform,Sony Computer Entertainment Europe,0.67,1.67
Star Wars: Battlefront II,2005,Shooter,Activision,0.39,1.67
Disney's DuckTales,1989,Platform,Capcom,0.3,1.67
Tony Hawk's Pro Skater 3,2001,Sports,Activision,0.49,1.67
"Monsters, Inc.",2001,Adventure,THQ,0.95,1.67
StarCraft II: Heart of the Swarm,2013,Strategy,Activision,0.65,1.67
PGR: Project Gotham Racing 2,2003,Racing,Microsoft Game Studios,0.59,1.67
Spy Hunter,2001,Racing,Midway Games,0.32,1.67
NCAA Football 2004,2003,Sports,Electronic Arts,0.09,1.67
SpongeBob SquarePants: Battle for Bikini Bottom,2003,Platform,THQ,0.45,1.67
Dying Light,2015,Action,Warner Bros. Interactive Entertainment,0.66,1.66
Heavenly Sword,2007,Action,Sony Computer Entertainment,0.73,1.66
Street Fighter II': Special Champion Edition,1992,Fighting,Sega,0.3,1.66
SSX,2000,Sports,Electronic Arts,0.61,1.66
Max Payne 3,2012,Shooter,Take-Two Interactive,0.64,1.66
NBA Ballers,2004,Sports,Midway Games,0.63,1.66
Need for Speed Carbon,2006,Racing,Electronic Arts,0.7,1.66
NBA Live 2003,2002,Sports,Electronic Arts,0.15,1.66
Dragon Ball Z: Budokai Tenkaichi,2005,Fighting,Atari,0.12,1.66
Ms. Pac-Man,1981,Puzzle,Atari,0.1,1.65
Mario Party 6,2004,Misc,Nintendo,0.11,1.65
Super Scope 6,1991,Shooter,Nintendo,0.38,1.65
Go Vacation,2011,Misc,Namco Bandai Games,0.68,1.65
Dragon Quest V: Tenkuu no Hanayome,2004,Role-Playing,Enix Corporation,0,1.65
Army of Two,2008,Shooter,Electronic Arts,0.38,1.65
Dragon Quest IV: Chapters of the Chosen,2007,Role-Playing,Square Enix,0.02,1.64
Kirby & the Amazing Mirror,2004,Platform,Nintendo,0.05,1.64
LEGO Pirates of the Caribbean: The Video Game,2011,Action,Disney Interactive Studios,0.72,1.64
Dig Dug,1982,Puzzle,Atari,0.1,1.64
Tom Clancy's Rainbow Six,1999,Shooter,Red Storm Entertainment,0.63,1.64
Ghosts 'n Goblins,1986,Action,Capcom,0.26,1.64
Tiger Woods PGA Tour 2003,2002,Sports,Electronic Arts,0.63,1.64
NBA Live 06 (All region sales),2005,Sports,Electronic Arts,0.15,1.64
Prince of Persia: Warrior Within,2004,Action,Ubisoft,0.88,1.64
Kinectimals,2010,Simulation,Microsoft Game Studios,0.48,1.64
Until Dawn,2015,Adventure,Sony Computer Entertainment Europe,0.89,1.64
ESPN NFL 2K5,2004,Sports,Sega,0.02,1.63
Viva Pinata,2006,Simulation,Microsoft Game Studios,0.96,1.63
Pikmin,2001,Strategy,Nintendo,0.25,1.63
Call of Duty: Black Ops,N/A,Shooter,Activision,0.81,1.63
Sonic Generations,2011,Platform,Sega,0.73,1.63
Tiger Woods PGA Tour 2004,2003,Sports,Electronic Arts,0.34,1.63
Ape Escape,1999,Platform,Sony Computer Entertainment,0.48,1.63
NBA 2K15,2014,Sports,Take-Two Interactive,0.14,1.63
NCAA Football 2005,2004,Sports,Electronic Arts,0.09,1.62
Just Cause 2,2010,Action,Square Enix,0.85,1.62
Rock Band,N/A,Misc,Electronic Arts,0.41,1.62
Tony Hawk's American Wasteland (Old all region sales),2005,Sports,Activision,0.63,1.62
Rage,2011,Shooter,Bethesda Softworks,0.61,1.62
Mario Hoops 3 on 3,2006,Sports,Nintendo,0.04,1.62
Kirby Air Ride,2003,Racing,Nintendo,0.11,1.62
Sled Storm,1998,Racing,Electronic Arts,0.61,1.62
Pokemon Battle Revolution,2006,Role-Playing,Nintendo,0.38,1.61
NFL Street 2,2004,Sports,Electronic Arts,0.62,1.61
Gears of War: Judgment,2013,Shooter,Microsoft Game Studios,0.53,1.61
Baseball,1989,Sports,Nintendo,0.27,1.61
Yu-Gi-Oh! Duel Monsters,1998,Strategy,Konami Digital Entertainment,0,1.61
Super Mario Strikers,2005,Sports,Nintendo,0.38,1.61
Buzz! The Music Quiz,2005,Misc,Sony Computer Entertainment,1.18,1.61
SpongeBob's Atlantis SquarePantis,2007,Action,THQ,0,1.61
Far Cry 4,2014,Shooter,Ubisoft,0.68,1.61
Dance Dance Revolution: Hottest Party 2,2008,Simulation,Konami Digital Entertainment,0.48,1.6
Moshi Monsters: Moshling Zoo,2011,Misc,Activision,0.99,1.6
Dollar Dash,2005,Action,Take-Two Interactive,0.23,1.6
Far Cry 2,2008,Action,Ubisoft,0.69,1.6
F-1 World Grand Prix,1998,Racing,Video System,0.96,1.6
River Raid,1981,Shooter,Activision,0.09,1.6
Silent Hill,1999,Action,Konami Digital Entertainment,0.48,1.6
Dragon Quest V: Hand of the Heavenly Bride,2008,Role-Playing,Square Enix,0.02,1.6
No Man's Sky,2016,Action,Hello Games,0.74,1.6
Sonic Heroes,2003,Platform,Sega,0.44,1.6
ESPN NBA 2K5,2004,Sports,Global Star,0.12,1.59
Diablo,1996,Role-Playing,Activision,1.58,1.59
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,0.36,1.59
Soul Edge,1996,Fighting,Sony Computer Entertainment,0.41,1.59
Devil May Cry 4,2008,Action,Capcom,0.46,1.59
Mario Bros.,1982,Platform,Atari,0.09,1.59
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,1.1,1.59
SoulCalibur IV,2008,Fighting,Ubisoft,0.44,1.59
LEGO Harry Potter: Years 1-4,2010,Action,Warner Bros. Interactive Entertainment,0.5,1.59
NASCAR 2000,1999,Racing,Electronic Arts,0.6,1.59
Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.8,1.58
Carnival Games: Mini Golf,2008,Sports,Take-Two Interactive,0.56,1.58
Guitar Hero: On Tour Decades,2008,Misc,Activision,0.58,1.58
MySims Kingdom,2008,Simulation,Electronic Arts,0.6,1.58
Jampack Summer 2K,2000,Misc,Sony Computer Entertainment,0.6,1.58
Need for Speed: Most Wanted,2012,Racing,Electronic Arts,0.8,1.58
Guitar Hero 5,2009,Misc,Activision,0.49,1.58
High School Musical 3: Senior Year,2008,Misc,Disney Interactive Studios,0.76,1.58
Kingdom Hearts 3D: Dream Drop Distance,2012,Action,Square Enix,0.26,1.58
Hannah Montana: Music Jam,2007,Action,Disney Interactive Studios,0.37,1.58
Pokemon Mystery Dungeon: Explorers of Sky,2009,Role-Playing,Nintendo,0.44,1.58
Spyro 2: Season of Flame,2002,Platform,Vivendi Games,0.65,1.58
Pro Evolution Soccer 2010,2009,Sports,Konami Digital Entertainment,0.18,1.57
NCAA Football 2002,2001,Sports,Electronic Arts,0.6,1.57
Conflict: Desert Storm,2002,Shooter,Gotham Games,0.53,1.57
Mario Party 7,2005,Misc,Nintendo,0.11,1.57
Pro Evolution Soccer 2013,2012,Sports,Konami Digital Entertainment,0.64,1.56
Smuggler's Run,2000,Racing,Take-Two Interactive,0.6,1.56
Fight Night Round 3,2006,Fighting,Electronic Arts,0.4,1.56
Donkey Kong Classics,1988,Platform,Nintendo,0.14,1.56
Twisted Metal,1995,Action,Sony Computer Entertainment,0.19,1.56
Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.44,1.56
Final Fight,1990,Action,Capcom,0.17,1.56
Dragon Quest Monsters 2,2001,Role-Playing,Enix Corporation,0,1.56
Pokemon Pinball: Ruby & Sapphire,2003,Misc,Nintendo,0.38,1.56
LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.75,1.56
Mafia II,2010,Action,Take-Two Interactive,0.56,1.55
Dishonored,2012,Action,Bethesda Softworks,0.54,1.55
Stuntman,2002,Racing,Atari,0.59,1.55
Tom Clancy's Rainbow Six 3,2003,Shooter,Ubisoft,0.57,1.55
Active Life: Outdoor Challenge,2008,Sports,Atari,0.44,1.55
BioShock 2,2010,Shooter,Take-Two Interactive,0.47,1.55
007: The World is not Enough,2000,Action,Electronic Arts,0.38,1.55
Spider-Man 2: Enter: Electro,2001,Action,Activision,0.87,1.55
Watch Dogs,2014,Action,Ubisoft,0.53,1.55
Star Wars: The Force Unleashed II,2010,Action,LucasArts,0.53,1.55
Ni no Kuni: Wrath of the White Witch,2011,Role-Playing,Namco Bandai Games,0.51,1.55
Command & Conquer: Tiberian Sun,1999,Strategy,Westwood Studios,0,1.55
LEGO Battles: Ninjago,2011,Strategy,Warner Bros. Interactive Entertainment,0.36,1.55
Mario Party 10,2015,Misc,Nintendo,0.5,1.55
Dead Rising 3,2013,Action,Microsoft Game Studios,0.35,1.54
Resident Evil: The Umbrella Chronicles,2007,Action,Capcom,0.43,1.54
Fire Emblem Fates,2015,Role-Playing,Nintendo,0.22,1.54
Dark Cloud,2000,Role-Playing,Sony Computer Entertainment,0.44,1.54
Warcraft III: The Frozen Throne,2003,Strategy,Activision,0.87,1.54
Tom Clancy's Ghost Recon Advanced Warfighter,2006,Shooter,Ubisoft,0.02,1.54
Disney Fairies: Tinker Bell,2008,Adventure,Disney Interactive Studios,0.52,1.54
MVP Baseball 2005,2005,Sports,Electronic Arts,0.07,1.54
Die Hard Trilogy,1996,Shooter,Fox Interactive,0.58,1.54
Call of Duty: Black Ops II,2012,Shooter,Activision,0.69,1.53
Fight Night Round 4,2009,Fighting,Electronic Arts,0.41,1.53
MySims Kingdom,2008,Simulation,Electronic Arts,0.65,1.53
The Simpsons Game,2007,Action,Electronic Arts,0.79,1.53
Mortal Kombat 3,1994,Fighting,Acclaim Entertainment,0.29,1.53
NFL GameDay 99,1998,Sports,989 Studios,0.05,1.53
Call of Duty: Modern Warfare: Reflex Edition,2009,Shooter,Activision,0.43,1.53
FIFA 17,2016,Sports,Electronic Arts,1.26,1.53
Mario Golf: Toadstool Tour,2003,Sports,Nintendo,0.15,1.53
Tiger Woods 99 PGA Tour Golf,1997,Sports,Electronic Arts,0.58,1.53
Donkey Kong Country: Tropical Freeze,2014,Platform,Nintendo,0.52,1.52
Dead Space 2,2011,Shooter,Electronic Arts,0.45,1.52
Sonic Rivals 2,2007,Racing,Sega,0.69,1.52
Knockout Kings,1997,Fighting,Electronic Arts,0.39,1.52
The Simpsons Skateboarding,2002,Sports,Electronic Arts,0.9,1.52
NASCAR 98,1996,Racing,Electronic Arts,0.05,1.52
F1 Race,1984,Racing,Nintendo,0,1.52
Xevious,1984,Shooter,Namco Bandai Games,0.06,1.52
NASCAR 99,1998,Racing,Electronic Arts,0.04,1.52
NBA Live 2000,1998,Sports,Electronic Arts,0.05,1.52
Mafia II,2010,Action,Take-Two Interactive,0.72,1.52
Call of Duty 3,2006,Shooter,Activision,0.63,1.52
Super Monkey Ball 2,2002,Puzzle,Atari,0.31,1.52
Pac-Man World 2,2002,Action,Namco Bandai Games,0.05,1.51
Madden NFL 15,2014,Sports,Electronic Arts,0.09,1.51
Sonic & Sega All-Stars Racing,2010,Racing,Sega,0.71,1.51
LEGO Star Wars III: The Clone Wars,2011,Action,LucasArts,0.54,1.51
Football Manager 2012,2011,Sports,Sega,1.16,1.51
Puzzle & Dragons,2013,Role-Playing,GungHo,0,1.51
Mega Man 2,1988,Action,Capcom,0.15,1.51
Simpsons Wrestling,2001,Fighting,Electronic Arts,1.16,1.51
NBA Live 98,1997,Sports,Electronic Arts,0.06,1.51
The Simpsons Game,2007,Action,Electronic Arts,0.03,1.51
Monopoly,1997,Misc,Hasbro Interactive,0.27,1.51
SoulCalibur II,2003,Fighting,Namco Bandai Games,0.32,1.5
Resistance 3,2011,Shooter,Sony Computer Entertainment,0.58,1.5
Tokyo Xtreme Racer Zero,2000,Racing,Crave Entertainment,0.52,1.5
Final Fantasy XIV: A Realm Reborn,2010,Role-Playing,Square Enix,0.48,1.5
NFL Blitz,1998,Sports,Midway Games,0.05,1.5
Red Faction II,2002,Shooter,THQ,0.78,1.5
Super Scribblenauts,2010,Puzzle,Warner Bros. Interactive Entertainment,0.31,1.5
Madden NFL 2001,2000,Sports,Electronic Arts,0.07,1.5
WWF No Mercy,2000,Fighting,THQ,0.27,1.5
Ice Climber,1985,Platform,Nintendo,0.1,1.5
Sonic CD,1993,Platform,Sega,0.36,1.5
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,1986,Platform,Hudson Soft,0,1.5
Dead Rising 2,2010,Action,Capcom,0.53,1.5
Rock Band 2,2008,Misc,MTV Games,0.2,1.5
Pac-Man World,1998,Action,Namco Bandai Games,0.14,1.5
Disney Sing It: Pop Hits,2009,Misc,Disney Interactive Studios,0.28,1.49
Final Fantasy: Crystal Chronicles,2003,Role-Playing,Nintendo,0.38,1.49
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,0.43,1.49
Madden NFL 09,2008,Sports,Electronic Arts,0,1.49
Drawn To Life: SpongeBob SquarePants Edition,2008,Adventure,THQ,0.36,1.49
Banjo-Tooie,2000,Platform,Nintendo,0.36,1.49
Buzz! The BIG Quiz,2006,Misc,Sony Computer Entertainment,1.1,1.49
007: Quantum of Solace,2008,Action,Activision,0.52,1.49
The Sims 3,2010,Simulation,Electronic Arts,0.73,1.49
New Play Control! Mario Power Tennis,2009,Sports,Nintendo,0.69,1.48
Bratz: Forever Diamondz,2006,Adventure,THQ,0.88,1.48
Dirge of Cerberus: Final Fantasy VII,2006,Shooter,Square Enix,0.37,1.48
Nintendo World Cup,1990,Sports,Nintendo,0.5,1.48
WWF WrestleMania 2000,1999,Fighting,THQ,0.25,1.48
Wario Land II,1997,Platform,Nintendo,0.35,1.48
Mass Effect 2,2011,Role-Playing,Electronic Arts,0.47,1.48
Major League Baseball 2K5,2005,Sports,Take-Two Interactive,0.56,1.48
Fight Night 2004,2004,Fighting,Electronic Arts,0.2,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,Action,Ubisoft,0.59,1.48
Imagine: Master Chef,2007,Simulation,Ubisoft,0.92,1.47
Assassin's Creed III: Liberation,2012,Action,Ubisoft,0.55,1.47
SoulCalibur IV,2008,Fighting,Ubisoft,0.41,1.47
Mario Golf,1999,Action,Nintendo,0.18,1.47
Disney Princess,2003,Platform,THQ,0.37,1.47
Fight Night Round 3,2006,Fighting,Electronic Arts,0.03,1.47
Metal Gear Rising: Revengeance,2013,Action,Konami Digital Entertainment,0.4,1.47
Chrono Trigger,2008,Role-Playing,Square Enix,0.2,1.47
Star Wars: The Force Unleashed II,2010,Action,LucasArts,0.4,1.47
The House of the Dead 2 & 3 Return,2008,Shooter,Sega,0.5,1.47
Disney Princess: Magical Jewels,2007,Adventure,Disney Interactive Studios,0.2,1.47
LittleBigPlanet PS Vita,2012,Platform,Sony Computer Entertainment,0.72,1.47
Xenogears,1998,Role-Playing,SquareSoft,0.19,1.46
The SpongeBob SquarePants Movie,2004,Platform,THQ,0.38,1.46
Tom Clancy's Ghost Recon: Future Soldier,2012,Shooter,Ubisoft,0.4,1.46
Battlefield: Bad Company,2008,Shooter,Electronic Arts,0.46,1.46
Midway Arcade Treasures,2003,Misc,Midway Games,0.56,1.46
Wall-E,2008,Platform,THQ,0.83,1.46
Triple Play 99,N/A,Sports,N/A,0.55,1.46
Homefront,2011,Shooter,THQ,0.48,1.46
Super Monkey Ball,2001,Puzzle,Atari,0.37,1.46
Donkey Kong,1981,Platform,Coleco,0.08,1.46
Mortal Kombat 4,1998,Fighting,GT Interactive,0.55,1.46
Mario Superstar Baseball,2005,Sports,Nintendo,0.24,1.46
Mass Effect 3,2012,Role-Playing,Electronic Arts,0.59,1.46
LEGO Batman 2: DC Super Heroes,2012,Action,Warner Bros. Interactive Entertainment,0.4,1.46
Medal of Honor: Warfighter,2012,Action,Electronic Arts,0.65,1.46
WCW vs the World,1998,Fighting,THQ,0.2,1.46
SNK vs. Capcom: The Match of the Millennium,2006,Fighting,Sega,0.58,1.46
LEGO City Undercover,2013,Platform,Nintendo,0.75,1.46
Onimusha 3: Demon Siege,2004,Action,Capcom,0.47,1.45
Diablo III,2013,Role-Playing,Activision,0.44,1.45
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,0.46,1.45
BioShock,2008,Shooter,Take-Two Interactive,0.49,1.45
Red Dead Revolver,2004,Shooter,Take-Two Interactive,0.55,1.45
Anno 2070,2011,Strategy,Ubisoft,1.13,1.45
Resident Evil: Outbreak,2003,Action,Capcom,0.35,1.45
Smarty Pants,2007,Misc,Electronic Arts,0.76,1.45
Tamagotchi,1996,Simulation,Namco Bandai Games,0,1.45
4 Nin uchi Mahjong,1984,Misc,Nintendo,0,1.45
Dragon Ball Z,1993,Fighting,Namco Bandai Games,0,1.45
Game de Hakken!! Tamagotchi 2,1997,Simulation,Namco Bandai Games,0,1.45
Namco Museum 64,1999,Misc,Namco Bandai Games,0.17,1.45
Hasbro Family Game Night,2008,Puzzle,Electronic Arts,0.34,1.45
Dragon Quest Monsters: Joker 2,2010,Role-Playing,Square Enix,0.08,1.45
Tony Hawk's American Wasteland (Weekly american sales),2005,Sports,Activision,0.05,1.45
My Word Coach,2007,Misc,Ubisoft,0.9,1.45
Hello Kitty Party,2007,Misc,Rising Star Games,0.53,1.44
SingStar Pop,2007,Misc,Sony Computer Entertainment,1.08,1.44
Sonic Rivals,2006,Racing,Sega,0.42,1.44
SimCity (2013),2013,Simulation,Electronic Arts,0.77,1.44
Kirby Super Star,1996,Platform,Nintendo,0.07,1.44
Far Cry 4,2014,Shooter,Ubisoft,0.79,1.44
WWE SmackDown vs Raw 2008,2007,Fighting,THQ,0.38,1.44
Kinect Joy Ride,2010,Racing,Microsoft Game Studios,0.4,1.44
Rayman Raving Rabbids,2006,Misc,Ubisoft,0.07,1.44
Need for Speed Rivals,2013,Racing,Electronic Arts,0.74,1.44
Tiger Woods PGA Tour 2005,2004,Sports,Electronic Arts,0.32,1.44
Dead Space 2,2011,Shooter,Electronic Arts,0.5,1.44
NCAA Football 2003,2002,Sports,Electronic Arts,0.08,1.44
Frogger 2: Swampy's Revenge,1999,Action,Hasbro Interactive,0.54,1.43
Disney Infinity,2013,Action,Disney Interactive Studios,0.37,1.43
LEGO Indiana Jones 2: The Adventure Continues,2009,Action,Activision,0.39,1.43
Sonic's Ultimate Genesis Collection,2009,Misc,Sega,0.46,1.43
Tiger Woods PGA Tour 09 All-Play,2008,Sports,Electronic Arts,0.48,1.43
